machine_type,air_temp_k,process_temp_k,rot_speed_rpm,torque_nm,tool_wear_min,failure
H,298.32,308.2,1787.0,42.83,232.3,1
L,297.07,306.44,1716.0,56.26,208.5,1
M,301.6,311.81,1341.0,38.67,110.6,0
L,295.47,305.59,1435.0,49.77,232.1,1
L,297.64,305.15,1538.0,38.23,79.8,0
L,302.36,312.72,1208.0,24.15,212.3,1
M,297.15,307.83,1545.0,44.52,12.9,0
H,297.58,307.77,1628.0,41.72,12.1,0
L,296.45,306.35,1761.0,44.38,177.6,0
H,299.54,310.37,1495.0,32.99,120.3,1
M,297.15,306.25,1633.0,27.52,135.5,0
L,299.87,310.21,1226.0,34.86,164.1,1
M,294.42,304.03,1356.0,40.41,18.9,0
L,297.3,306.2,1680.0,28.32,173.7,0
H,297.67,308.43,1622.0,37.33,166.8,1
L,297.69,308.43,1572.0,40.41,241.0,1
M,299.38,310.06,1467.0,46.14,119.3,0
L,299.3,308.51,1480.0,42.26,244.0,0
H,297.72,308.35,1346.0,9.14,14.0,1
L,298.31,311.17,1443.0,30.76,104.4,0
M,299.24,310.53,1490.0,31.07,5.5,1
L,297.63,306.05,1671.0,25.18,65.8,0
L,300.11,311.27,1673.0,27.82,108.2,0
H,298.3,306.0,1530.0,44.33,106.4,0
H,299.95,309.37,1480.0,47.95,9.6,0
L,296.26,306.79,1331.0,47.57,130.3,0
H,295.52,304.4,1395.0,42.55,183.8,0
L,296.19,306.54,1468.0,43.64,215.4,1
L,298.88,309.22,1437.0,39.91,83.7,0
L,296.26,306.92,1392.0,37.55,193.8,1
L,297.39,306.91,1470.0,39.92,235.0,1
M,296.56,306.57,1435.0,41.74,21.8,0
H,300.55,309.85,1522.0,38.85,7.7,0
L,297.11,309.56,1360.0,31.88,155.0,0
L,299.44,310.98,1458.0,39.29,139.2,1
H,297.66,307.87,1379.0,47.97,158.2,0
L,302.44,312.71,1448.0,45.5,157.1,0
L,300.35,309.51,1399.0,53.81,235.2,1
H,298.82,309.29,1405.0,62.22,109.4,1
M,297.37,307.71,1663.0,47.68,33.0,1
H,298.4,307.89,1626.0,33.2,85.9,0
M,297.7,307.79,1612.0,35.98,129.6,0
L,300.48,309.83,1644.0,25.86,126.0,0
M,297.15,306.7,1386.0,52.44,53.1,0
L,299.45,309.69,1692.0,44.34,59.9,0
L,301.14,310.36,1420.0,60.23,211.1,1
M,297.26,308.09,1434.0,35.0,157.2,0
L,296.15,306.86,1396.0,35.9,104.8,0
L,296.46,305.58,1176.0,31.68,71.0,1
L,298.45,309.37,1560.0,32.44,136.9,1
L,296.66,306.89,1390.0,39.36,60.4,0
M,298.06,308.31,1389.0,44.78,50.7,0
L,296.73,306.06,1350.0,48.45,226.8,0
M,297.66,308.64,1597.0,59.85,41.4,1
L,298.08,309.79,1684.0,49.36,211.7,0
L,295.99,304.81,1615.0,35.37,90.3,0
M,296.91,307.18,1717.0,59.39,161.4,1
L,296.58,307.13,1469.0,39.92,235.0,1
M,298.62,310.01,1244.0,43.79,184.0,1
M,300.05,308.41,1634.0,26.8,200.8,0
H,294.74,304.54,1465.0,37.52,21.1,0
H,297.63,308.24,1532.0,43.98,20.7,0
H,297.86,307.55,1503.0,43.54,50.7,0
L,303.33,312.8,1464.0,24.78,160.1,0
L,297.46,306.33,1649.0,33.64,32.6,0
H,297.66,308.01,1548.0,49.8,179.9,1
M,297.36,308.84,1455.0,32.55,98.4,0
L,299.44,306.27,1702.0,36.55,207.5,1
M,295.81,304.62,1716.0,33.03,212.1,1
L,295.57,306.97,1372.0,30.8,152.3,1
M,298.84,309.75,1482.0,29.02,168.4,0
L,302.54,312.35,1407.0,43.79,23.4,0
L,298.91,310.09,1314.0,41.62,9.0,0
M,298.0,306.86,1590.0,17.78,45.5,0
L,299.22,306.7,1654.0,50.38,2.4,0
M,299.2,309.02,1371.0,47.13,99.3,0
H,299.58,308.63,1452.0,54.27,201.3,1
M,298.11,309.11,1550.0,31.33,171.9,0
L,294.45,302.87,1324.0,24.21,203.8,1
L,296.76,306.43,1420.0,53.09,34.3,1
M,298.03,306.49,1621.0,33.56,131.4,0
M,300.51,309.99,1526.0,39.08,32.6,0
M,298.16,307.81,1483.0,31.58,32.7,0
L,298.67,309.28,1632.0,44.1,59.3,0
M,300.0,311.15,1436.0,25.3,146.3,0
M,297.06,307.22,1403.0,46.06,177.3,0
H,296.83,306.62,1395.0,37.16,167.1,1
L,300.75,311.35,1692.0,42.06,231.2,1
L,294.7,303.91,1592.0,27.88,49.8,0
M,298.89,309.01,1732.0,50.83,102.8,0
M,297.34,307.98,1486.0,45.12,65.4,1
L,302.53,311.46,1418.0,41.8,240.9,1
L,301.1,310.17,1680.0,41.26,115.8,0
M,297.5,307.5,1393.0,33.49,25.3,0
M,295.74,305.3,1534.0,46.68,22.3,0
M,300.07,311.19,1642.0,49.76,85.3,0
L,297.71,307.78,1248.0,43.32,18.2,0
M,298.7,307.85,1569.0,41.48,165.3,0
M,297.43,307.33,1826.0,43.4,222.7,1
L,300.48,311.73,1707.0,37.84,159.1,0
L,300.68,310.72,1490.0,37.0,55.6,0
M,298.82,308.9,1382.0,34.14,30.8,0
L,303.64,314.47,1418.0,20.45,41.3,0
L,300.53,311.7,1511.0,17.28,90.4,0
H,300.31,311.23,1370.0,33.01,16.3,1
L,297.99,307.27,1585.0,43.92,226.4,1
L,298.24,307.61,1799.0,42.7,166.4,0
M,297.04,307.0,1577.0,39.79,66.7,0
L,296.69,308.26,1514.0,25.19,152.1,0
M,296.3,306.22,1707.0,32.75,92.2,0
M,301.9,313.22,1498.0,39.8,161.6,1
L,298.69,308.35,1480.0,32.01,94.9,0
H,294.58,305.46,1640.0,24.14,0.2,0
L,293.86,304.47,1562.0,53.99,76.2,0
L,294.36,302.61,1451.0,44.16,185.3,0
M,297.37,307.58,1532.0,54.43,104.9,0
L,292.9,302.42,1339.0,43.27,218.1,0
M,299.08,311.07,1780.0,38.32,228.2,1
L,293.07,304.07,1437.0,23.57,208.1,0
H,293.62,302.55,1283.0,39.52,5.8,0
L,299.07,307.95,1563.0,42.1,113.7,0
M,296.32,303.35,1349.0,38.91,52.2,0
M,296.12,305.61,1567.0,46.44,74.6,0
M,297.07,309.2,1447.0,32.49,34.9,0
H,298.52,306.98,1289.0,37.7,182.7,1
L,297.63,309.09,1517.0,37.75,156.9,0
M,298.95,308.35,1398.0,44.36,45.4,0
L,295.7,306.47,1205.0,42.98,73.8,1
L,300.23,310.23,1633.0,43.77,62.2,0
M,295.9,305.7,1404.0,42.4,63.3,0
L,300.0,309.5,1497.0,43.52,235.0,0
H,300.38,311.31,1528.0,50.12,95.8,0
L,300.02,309.74,1637.0,21.04,249.0,1
L,296.65,306.23,1459.0,36.96,46.2,0
L,298.17,307.28,1620.0,42.16,6.5,1
L,295.65,305.29,1607.0,23.15,197.1,1
L,297.39,307.36,1498.0,42.06,33.7,0
M,297.11,307.32,1719.0,53.32,221.7,1
L,295.41,306.08,1399.0,43.59,158.6,0
L,299.84,308.9,1642.0,44.65,7.3,1
M,297.83,306.65,1412.0,41.25,241.6,1
H,298.99,311.32,1592.0,37.79,159.9,0
L,296.72,307.36,1737.0,45.72,30.1,0
H,299.34,309.1,1461.0,39.25,161.6,0
L,298.19,308.34,1690.0,38.99,69.4,0
H,298.14,308.35,1265.0,59.89,226.1,1
L,300.12,311.23,1363.0,28.13,22.6,0
H,300.29,310.11,1451.0,40.48,171.0,1
H,293.37,303.55,1503.0,33.13,222.0,1
M,298.57,310.14,1523.0,36.98,203.5,1
L,298.18,308.26,1503.0,21.78,115.2,0
L,295.05,303.4,1701.0,27.47,144.2,0
M,297.96,307.23,1287.0,40.48,185.7,0
L,298.61,308.87,1415.0,31.08,188.0,0
L,300.04,309.28,1617.0,58.22,104.5,1
H,299.03,309.97,1484.0,31.96,33.2,0
L,296.09,306.49,1461.0,42.23,239.1,1
L,297.52,307.93,1444.0,49.57,83.7,0
L,300.93,311.06,1545.0,40.34,136.6,0
L,295.98,306.54,1434.0,32.78,73.8,1
L,296.94,307.02,1677.0,36.55,96.1,0
L,300.68,311.38,1328.0,38.72,240.2,1
L,296.56,307.01,1230.0,45.79,197.2,1
L,299.04,310.27,1546.0,42.28,83.6,0
L,299.37,311.09,1446.0,28.47,174.5,0
L,298.38,307.05,1629.0,28.8,15.4,1
H,304.74,315.41,1333.0,7.55,47.4,0
L,296.7,306.99,1610.0,32.72,32.6,0
H,295.73,305.2,1396.0,53.11,36.4,0
M,298.84,308.98,1147.0,49.15,158.2,0
L,297.59,307.72,1386.0,35.27,47.4,0
L,297.09,306.66,1388.0,61.62,160.3,0
M,298.5,310.58,1415.0,26.34,141.5,0
L,297.17,307.89,1195.0,54.0,99.6,0
L,301.38,311.88,1289.0,50.36,208.8,1
M,296.43,305.69,1415.0,23.08,74.9,1
M,298.02,307.45,1372.0,42.96,154.2,0
H,297.18,307.0,1316.0,52.81,129.5,0
M,295.27,306.57,1753.0,39.54,195.1,1
M,298.32,309.49,1646.0,34.13,105.9,0
L,293.19,305.23,1477.0,19.31,191.2,0
M,294.99,305.3,1418.0,35.54,244.7,1
L,295.98,307.35,1386.0,49.35,27.7,0
L,297.81,307.67,1538.0,45.69,156.8,1
L,295.99,304.7,1608.0,37.12,35.6,0
L,299.56,307.9,1449.0,56.34,22.5,0
H,298.87,307.44,1303.0,22.43,130.5,0
M,299.96,311.82,1457.0,36.57,239.1,1
M,298.5,306.9,1401.0,39.15,186.2,0
L,296.16,307.15,1456.0,30.69,184.5,1
M,297.69,308.51,1477.0,47.07,59.3,0
L,298.4,307.14,1343.0,37.91,117.1,0
M,297.57,308.1,1491.0,37.13,100.9,0
L,297.83,306.95,1538.0,36.47,20.5,0
L,299.68,310.21,1696.0,48.77,25.2,1
H,300.7,310.02,1339.0,39.46,232.3,0
L,298.5,309.32,1288.0,34.73,150.2,0
M,300.53,311.38,1285.0,48.48,111.4,0
M,299.28,310.5,1535.0,35.33,61.3,0
M,300.73,311.51,1507.0,26.4,71.1,0
H,297.58,307.18,1283.0,32.74,75.5,0
H,298.45,307.47,1449.0,42.27,112.5,0
M,293.97,303.2,1524.0,36.3,21.7,0
L,297.9,307.15,1411.0,32.33,27.2,0
L,299.36,308.38,1271.0,36.72,199.5,1
L,298.48,306.53,1474.0,32.34,71.8,0
M,300.69,311.66,1511.0,35.69,9.4,0
M,299.0,310.1,1398.0,38.76,129.0,0
H,297.95,308.0,1574.0,39.84,75.2,0
L,296.66,304.5,1607.0,35.2,59.0,0
L,299.02,308.4,1519.0,36.22,113.2,0
H,295.47,305.53,1541.0,31.76,145.5,1
H,298.11,307.86,1578.0,40.64,49.9,0
M,297.55,307.49,1559.0,47.52,213.9,1
M,297.59,306.4,1712.0,44.49,228.2,1
L,299.46,310.1,1763.0,46.8,17.6,0
L,298.95,310.69,1602.0,33.22,17.0,0
L,301.33,311.89,1505.0,30.74,91.9,0
L,298.94,308.33,1549.0,35.34,136.1,0
M,299.41,309.28,1696.0,42.5,236.5,1
L,295.99,306.07,1590.0,44.26,0.6,0
M,297.65,306.4,1333.0,32.04,249.7,1
L,296.56,306.12,1411.0,31.27,15.4,0
L,296.14,306.4,1648.0,29.48,99.5,0
L,300.86,311.19,1361.0,48.76,205.1,0
L,294.72,304.12,1813.0,42.46,208.0,1
H,297.76,309.65,1767.0,40.47,110.6,0
M,294.62,306.67,1222.0,52.26,180.0,0
L,300.33,309.34,1527.0,33.45,65.7,0
L,297.99,307.73,1594.0,48.81,217.4,1
H,297.69,308.71,1532.0,31.81,117.0,0
M,297.78,306.93,1866.0,41.73,163.3,1
M,297.42,306.47,1704.0,11.4,145.2,0
L,297.94,310.25,1314.0,31.27,179.8,0
M,296.96,307.43,1632.0,39.13,24.6,1
L,299.54,310.68,1585.0,62.96,29.8,0
M,299.86,309.48,1636.0,64.88,1.2,0
H,298.11,307.08,1560.0,43.01,79.6,0
L,298.25,306.86,1735.0,60.92,162.0,1
H,296.97,307.2,1069.0,37.25,59.7,1
M,297.89,308.67,1440.0,43.52,49.3,0
M,297.92,308.6,1333.0,46.02,187.9,1
L,300.68,310.22,1531.0,24.3,170.7,0
L,299.73,309.11,1413.0,37.12,198.4,0
M,295.81,304.71,1434.0,39.08,242.2,1
M,297.51,309.36,1463.0,31.99,217.1,1
M,297.7,308.98,1666.0,42.28,161.4,0
L,299.09,309.38,1342.0,32.21,210.3,1
L,297.52,308.94,1480.0,34.93,103.9,0
M,299.17,309.49,1689.0,37.9,33.2,0
L,297.1,307.79,1477.0,48.28,107.1,0
L,294.86,304.28,1392.0,34.67,107.0,0
H,296.85,307.5,1435.0,57.58,185.1,1
L,300.51,309.55,1283.0,28.39,240.5,1
H,298.26,308.41,1329.0,26.76,35.9,0
M,300.83,308.75,1607.0,21.28,185.5,0
H,296.97,306.19,1507.0,39.07,88.9,0
M,301.59,311.57,1298.0,46.05,186.8,0
M,297.26,306.87,1622.0,23.58,221.0,0
H,301.18,310.83,1384.0,48.6,249.7,1
H,298.89,310.95,1587.0,58.28,104.3,1
H,297.8,306.56,1379.0,36.1,134.6,0
L,300.17,309.64,1413.0,47.32,219.9,1
L,296.26,307.59,1762.0,44.94,8.9,0
L,301.74,312.48,1680.0,42.16,46.3,0
M,296.05,306.09,1846.0,43.69,12.1,1
L,296.32,305.56,1459.0,54.6,11.4,0
M,297.63,307.77,1439.0,38.12,171.8,0
M,299.66,308.49,1450.0,40.75,174.9,0
L,297.33,307.83,1417.0,37.13,66.2,1
L,297.22,306.77,1702.0,44.25,14.0,0
M,298.07,307.31,1346.0,31.61,46.6,0
M,295.56,305.5,1663.0,57.56,188.2,1
M,297.6,308.01,1525.0,48.81,132.8,0
L,296.18,305.06,1545.0,36.66,172.5,0
H,297.18,306.45,1645.0,37.62,246.7,1
L,296.2,309.27,1455.0,51.04,101.2,0
M,296.74,306.34,1456.0,34.87,16.2,0
L,299.25,310.08,1477.0,33.75,164.6,0
M,298.03,306.6,1239.0,50.5,91.0,0
H,296.63,306.03,1606.0,41.31,76.2,0
L,295.92,308.17,1497.0,47.07,145.9,0
L,297.51,306.86,1677.0,60.72,221.2,1
L,297.43,308.93,1267.0,29.5,160.1,1
M,298.93,310.28,1630.0,47.33,60.3,0
H,297.6,307.47,1365.0,39.16,15.8,1
H,296.05,306.06,1582.0,31.54,128.7,0
H,299.6,309.76,1599.0,26.21,122.0,1
L,298.67,308.54,1314.0,40.55,21.5,1
L,295.82,306.27,1164.0,50.84,188.2,1
M,298.74,309.67,1684.0,46.49,229.4,1
L,302.62,313.53,1524.0,54.31,181.4,0
M,299.34,308.09,1462.0,41.92,42.1,0
H,301.16,312.9,1335.0,41.38,249.3,1
H,301.6,311.28,1759.0,48.69,23.8,0
M,296.84,307.99,1567.0,25.25,98.0,0
H,296.68,307.05,1637.0,40.09,7.8,0
M,297.57,307.78,1640.0,40.24,218.7,1
H,293.34,302.02,1481.0,48.13,98.3,0
L,296.44,307.06,1567.0,33.44,180.2,0
H,301.99,309.86,1373.0,58.54,47.3,1
L,298.01,309.87,1523.0,60.25,40.8,0
L,298.2,308.46,1518.0,18.34,43.2,0
L,295.86,306.61,1330.0,39.14,173.1,0
L,298.94,308.51,1636.0,37.03,101.5,0
L,296.91,307.86,1321.0,47.37,82.1,1
H,299.13,310.21,1523.0,49.24,135.3,0
L,297.21,308.6,1548.0,25.34,53.6,0
H,296.28,306.1,1614.0,49.23,115.0,1
H,296.64,306.97,1630.0,31.08,212.8,0
M,296.4,305.71,1220.0,36.67,228.1,1
L,299.95,309.84,1477.0,49.11,4.7,0
L,298.4,309.84,1175.0,44.8,138.4,1
M,297.46,308.02,1156.0,53.42,155.3,0
M,296.55,307.1,1410.0,32.23,88.0,0
L,295.31,306.18,1778.0,40.37,168.2,1
L,298.74,309.74,1601.0,57.57,220.8,1
M,299.55,310.61,1662.0,38.76,16.9,0
H,296.94,305.92,1318.0,35.19,142.6,0
M,296.59,307.32,1631.0,38.56,5.0,0
L,301.83,310.15,1534.0,37.44,203.6,0
M,300.78,311.32,1287.0,35.35,188.4,0
H,299.72,309.15,1709.0,60.32,134.3,1
L,297.64,308.44,1458.0,26.2,172.8,0
L,297.07,306.08,1293.0,41.23,198.7,1
M,299.65,308.8,1768.0,49.48,103.8,1
H,300.37,309.53,1291.0,20.63,166.4,0
L,297.18,304.63,1418.0,39.7,196.0,1
H,296.08,306.6,1679.0,55.45,71.1,0
L,301.62,312.63,1344.0,45.3,4.1,0
H,299.47,308.84,1486.0,31.52,171.3,0
M,298.38,307.36,1367.0,41.23,175.4,1
M,297.74,307.85,1402.0,41.18,175.0,1
H,297.88,306.87,1438.0,58.39,33.7,1
M,297.21,307.34,1314.0,37.27,166.7,0
L,298.73,305.91,1611.0,46.68,48.9,0
L,300.47,310.22,1526.0,42.18,91.1,0
H,298.19,306.64,1593.0,43.81,154.3,0
L,299.39,308.79,1519.0,49.88,173.6,0
M,298.4,308.68,1388.0,59.46,15.8,1
H,301.94,312.54,1290.0,37.89,85.0,0
L,297.83,307.93,1145.0,36.56,187.6,1
M,296.7,305.5,1352.0,33.97,194.2,1
H,295.99,306.67,1335.0,32.15,241.6,1
M,300.07,311.95,1572.0,54.43,45.7,1
L,299.09,309.38,1744.0,44.36,181.7,0
L,295.4,304.97,1353.0,22.48,168.6,0
L,300.2,310.89,1530.0,32.72,71.7,0
L,301.6,311.49,1776.0,27.61,87.7,0
L,299.36,307.88,1611.0,55.13,6.4,0
H,298.43,309.21,1683.0,14.1,92.5,0
M,294.84,304.65,1699.0,44.17,210.1,0
L,294.4,304.4,1289.0,22.67,74.4,1
L,295.81,305.05,1619.0,54.17,96.4,0
H,293.75,303.37,1634.0,42.23,180.3,0
L,298.96,308.98,1557.0,52.81,89.5,1
L,300.0,310.38,1619.0,45.78,63.0,0
L,299.43,308.7,1459.0,24.84,95.8,0
H,298.36,308.12,1460.0,35.33,227.2,1
M,297.08,307.23,1558.0,40.32,2.9,0
L,297.32,307.39,1396.0,59.24,71.7,1
M,298.48,308.14,1695.0,29.24,123.8,0
M,298.15,309.97,1529.0,25.9,57.8,0
L,299.39,309.71,1717.0,52.02,4.5,1
M,300.57,310.12,1441.0,36.84,78.8,0
L,298.95,309.84,1484.0,42.27,161.6,0
L,295.73,306.28,1637.0,35.49,10.4,0
M,298.92,307.65,1610.0,42.72,216.1,0
M,297.23,307.85,1564.0,43.66,141.1,0
H,295.88,307.55,1334.0,47.88,78.3,0
L,298.44,309.21,1352.0,42.85,78.9,1
L,296.4,308.66,1647.0,24.89,77.9,1
L,294.19,304.25,1460.0,47.72,56.0,1
L,298.12,307.82,1665.0,53.32,203.3,1
M,298.18,307.02,1437.0,51.01,4.2,0
M,299.04,309.39,1599.0,31.24,207.0,0
M,299.55,309.78,1204.0,29.25,125.0,1
L,297.21,307.47,1685.0,43.23,72.4,1
L,297.52,307.2,1513.0,22.36,200.3,0
L,297.36,306.87,1367.0,51.15,167.9,0
L,295.47,304.87,1548.0,28.9,127.0,0
L,298.18,306.84,1212.0,40.66,183.8,1
L,299.6,309.42,1506.0,47.89,19.9,0
M,294.0,304.72,1511.0,45.89,8.7,0
L,299.63,311.34,1344.0,57.16,235.9,1
L,295.8,306.19,1504.0,36.96,137.9,0
L,297.31,306.03,1745.0,27.4,24.4,0
M,296.79,307.93,1616.0,51.0,174.4,1
L,298.64,308.48,1415.0,39.56,99.0,0
L,298.78,307.63,1472.0,56.23,204.3,0
L,299.83,311.08,1563.0,34.77,242.1,1
L,298.58,307.36,1787.0,33.29,143.3,1
L,301.95,312.75,1253.0,48.12,120.3,1
M,297.24,307.2,1463.0,27.72,219.6,0
M,297.45,307.15,1631.0,29.46,211.0,0
L,295.37,304.82,1636.0,52.51,8.1,0
L,297.25,306.99,1167.0,28.69,206.5,0
L,298.26,309.03,1594.0,53.6,241.3,0
L,297.05,308.64,1394.0,47.59,125.5,1
H,293.87,304.76,1477.0,37.16,159.4,1
H,296.02,305.71,1479.0,34.28,111.8,0
M,299.71,308.85,1549.0,38.34,181.2,0
L,296.69,305.04,1658.0,35.63,90.7,0
H,296.35,305.66,1591.0,45.5,129.1,0
M,298.2,309.4,1307.0,17.83,44.8,0
L,299.88,310.77,1376.0,29.05,230.7,0
M,299.79,310.78,1305.0,39.58,187.6,0
M,298.37,308.96,1502.0,49.09,242.6,1
H,298.12,308.13,1424.0,55.68,98.1,0
L,296.68,307.77,1544.0,46.6,46.1,0
H,299.93,309.48,1370.0,60.24,61.3,1
L,298.2,306.86,1542.0,42.61,27.2,0
M,301.02,311.48,1489.0,52.54,116.0,0
H,298.02,307.73,1522.0,48.69,202.5,0
L,297.61,305.37,1450.0,46.95,59.4,0
L,301.02,312.19,1340.0,24.76,199.9,1
H,299.45,309.2,1556.0,39.94,58.9,0
L,302.15,312.44,1375.0,31.71,127.9,1
L,297.45,307.86,1675.0,52.48,16.0,1
L,298.3,308.65,1309.0,21.41,156.3,0
M,297.68,308.89,1632.0,50.34,55.9,0
M,294.72,304.32,1563.0,40.06,173.9,0
L,294.49,306.91,1616.0,40.33,109.3,0
M,298.74,308.64,1817.0,27.68,192.6,1
M,296.72,306.5,1210.0,36.86,34.9,0
H,299.36,308.8,1655.0,46.22,211.2,0
L,298.44,308.13,1448.0,12.68,164.2,0
M,296.09,305.85,1423.0,7.67,220.7,1
L,295.7,306.59,1684.0,19.74,113.0,0
L,297.94,308.0,1464.0,34.41,201.2,0
H,295.96,306.09,1615.0,47.34,41.0,0
H,293.77,303.4,1611.0,38.88,89.7,0
L,303.06,311.23,1564.0,32.74,77.6,0
M,295.96,306.54,1704.0,57.48,5.4,0
L,296.72,307.4,1432.0,29.7,91.6,0
H,298.86,308.2,1435.0,47.92,116.7,0
M,295.16,305.16,1682.0,30.14,213.9,0
L,302.97,313.79,1468.0,35.36,55.2,0
L,295.85,305.93,1441.0,45.46,134.2,0
L,293.12,304.53,1563.0,56.99,198.9,1
H,297.45,308.77,1332.0,51.01,175.6,1
L,298.98,307.13,1390.0,14.5,1.8,0
L,298.98,308.76,1509.0,49.26,7.4,0
L,300.69,310.03,1587.0,47.1,223.1,1
L,294.48,304.42,1613.0,49.62,48.4,1
M,298.87,309.44,1393.0,37.12,1.2,1
M,300.03,309.9,1464.0,37.56,107.1,0
L,294.03,304.3,1601.0,43.19,12.0,0
M,295.3,306.53,1433.0,51.25,240.5,1
M,298.02,308.02,1487.0,53.07,165.9,0
M,297.59,306.81,1419.0,52.13,43.6,0
M,296.49,307.52,1500.0,27.71,41.7,0
H,299.36,309.58,1239.0,45.37,129.0,1
L,298.67,310.1,1492.0,28.6,167.7,0
L,295.28,306.1,1767.0,41.0,13.8,0
H,297.44,306.28,1633.0,45.19,202.0,1
H,297.0,308.22,1177.0,32.84,91.6,0
M,296.67,307.94,1520.0,39.49,248.4,0
M,296.32,306.72,1299.0,36.97,200.5,0
H,298.88,309.0,1558.0,35.37,190.5,1
L,295.24,304.68,1725.0,36.77,125.4,0
L,297.58,309.04,1352.0,50.38,48.1,0
L,297.98,309.14,1561.0,29.94,229.2,1
L,297.18,306.21,1494.0,55.7,146.1,0
L,297.45,309.19,1556.0,59.25,186.0,1
L,301.92,311.92,1203.0,35.09,184.4,0
H,299.26,310.06,1497.0,38.77,99.5,0
L,299.91,309.3,1517.0,17.6,37.5,0
M,296.6,307.03,1484.0,46.83,194.6,0
L,295.47,305.73,1616.0,29.66,44.4,1
H,297.93,308.78,1801.0,39.25,78.0,0
M,297.5,307.56,1415.0,22.7,247.8,1
L,296.31,305.27,1471.0,43.31,16.8,0
H,300.01,309.83,1355.0,40.35,111.0,1
L,297.26,309.1,1449.0,53.94,204.3,0
L,297.0,305.46,1462.0,17.0,106.4,0
L,293.31,302.44,1943.0,21.76,109.2,0
L,299.9,309.52,1755.0,27.73,21.5,1
H,296.91,307.59,1294.0,60.65,190.9,1
M,297.73,309.95,1399.0,29.14,172.7,1
L,298.84,308.73,1692.0,39.32,26.4,1
L,299.19,309.06,1445.0,46.23,149.4,0
M,295.58,304.96,1482.0,47.9,22.5,0
L,300.56,309.01,1542.0,47.0,102.4,0
L,297.22,307.92,1606.0,34.07,199.4,1
L,297.02,308.04,1445.0,29.03,248.0,0
M,295.19,305.11,1395.0,37.64,11.1,1
L,299.15,309.17,1163.0,46.13,238.5,1
H,299.29,310.21,1639.0,39.07,69.4,0
L,294.65,304.63,1492.0,51.6,182.3,0
L,296.06,305.84,1375.0,27.67,52.2,0
M,299.43,308.55,1836.0,50.75,241.0,1
H,295.02,304.23,1390.0,29.08,50.6,0
L,299.7,308.36,1798.0,33.83,154.4,0
M,295.63,305.48,1501.0,24.24,123.0,1
M,297.59,307.45,1431.0,42.86,49.1,0
L,297.67,306.99,1394.0,31.98,116.7,0
M,298.63,308.12,1318.0,43.86,206.3,1
L,297.63,308.62,1674.0,36.09,25.6,0
M,301.23,313.0,1493.0,37.28,20.2,0
L,301.28,311.42,1267.0,35.56,246.6,1
H,295.8,305.26,1795.0,32.03,116.1,1
L,299.31,309.29,1562.0,32.55,140.4,0
L,301.19,310.08,1238.0,34.52,220.5,0
L,299.72,309.83,1700.0,42.89,68.6,1
L,298.11,306.88,1557.0,49.41,170.8,0
M,301.15,310.34,1185.0,33.75,26.6,1
L,299.62,309.49,1764.0,45.84,182.1,0
L,299.92,309.27,1553.0,28.35,181.4,0
L,296.75,305.79,1609.0,44.3,54.7,0
L,296.07,305.85,1688.0,38.94,190.8,1
L,294.82,304.4,1512.0,25.9,181.0,0
L,297.83,308.21,1366.0,43.33,13.8,0
L,299.16,309.35,1572.0,28.47,95.4,0
L,297.76,308.02,1499.0,42.06,208.5,0
L,299.55,309.06,1324.0,41.35,55.1,0
L,301.62,310.09,1310.0,47.14,70.0,0
L,299.02,310.16,1601.0,48.37,54.6,0
M,299.89,309.42,1595.0,43.24,216.2,1
L,298.97,310.17,1603.0,34.74,220.8,0
L,300.05,309.34,1432.0,50.69,33.6,0
L,297.58,307.64,1678.0,43.45,14.9,1
L,296.41,305.17,1416.0,40.92,77.8,0
H,299.86,310.23,1647.0,30.59,66.5,0
H,296.79,306.02,1795.0,36.46,211.3,0
H,298.54,308.99,1364.0,28.05,30.3,0
M,294.19,304.31,1363.0,43.26,182.9,0
H,299.6,308.65,1609.0,51.61,34.2,0
L,300.46,309.57,1589.0,40.05,55.1,0
L,298.05,308.1,1559.0,29.65,132.6,0
H,295.26,305.32,1523.0,40.59,87.7,0
L,295.63,305.54,1443.0,53.08,72.1,0
L,299.76,309.52,1482.0,43.7,47.6,0
L,298.89,307.43,1494.0,30.14,8.2,0
H,300.17,311.16,1382.0,58.95,127.6,1
M,295.94,305.0,1419.0,33.8,66.8,1
M,296.09,307.53,1328.0,43.42,30.7,0
H,297.39,307.24,1333.0,35.92,55.1,0
M,298.81,308.38,1370.0,42.48,92.1,1
H,294.35,304.79,1536.0,37.53,223.6,0
M,297.93,308.46,1302.0,50.85,110.1,1
L,298.66,309.16,1472.0,41.7,151.3,1
M,298.34,308.78,1561.0,59.32,167.4,0
L,299.79,309.48,1323.0,40.99,167.0,0
H,295.55,306.0,1410.0,36.15,228.0,1
M,297.81,308.04,1302.0,48.39,104.6,0
H,301.03,310.52,1473.0,37.22,4.5,0
H,297.46,306.19,1501.0,31.28,224.7,0
L,299.57,308.96,1459.0,37.12,116.9,1
M,299.25,308.74,1812.0,46.43,15.3,0
L,295.91,305.33,1582.0,32.92,141.1,0
M,297.53,307.08,1453.0,42.63,205.3,0
L,298.93,309.25,1658.0,31.89,214.5,1
L,294.18,302.21,1557.0,40.8,90.6,0
L,294.94,304.61,1427.0,58.56,109.4,0
L,295.99,306.68,1430.0,30.79,240.2,1
L,299.79,310.5,1732.0,33.97,170.2,0
L,296.13,304.7,1265.0,49.97,26.2,1
