spindle_rpm,feed_rate_mmpm,cut_depth_mm,power_kw,vibration_mm_s,coolant_lpm,tool_temp_c
512,0,0.0,0.0,0.0,0.0,28.81
3260,212,0.78,8.42,2.18,18.5,46.82
3109,153,0.29,9.43,2.81,20.7,52.67
640,61,0.0,0.62,0.94,0.0,29.87
621,55,0.0,0.31,0.13,0.0,21.29
1035,623,6.31,27.76,9.53,30.9,85.37
2959,170,0.48,11.13,2.51,16.0,38.36
1472,422,3.91,17.42,4.64,24.1,62.07
772,2,0.16,0.0,0.07,0.0,27.13
2974,269,0.32,6.55,1.35,15.7,43.87
892,0,0.11,1.86,1.07,0.0,28.12
944,566,5.99,24.31,9.15,27.4,88.63
2974,316,0.59,11.07,0.75,17.2,42.89
1098,622,6.47,23.98,6.72,27.1,74.58
2947,237,0.83,11.47,1.72,20.9,57.86
2997,120,1.18,12.05,1.37,20.3,41.95
1289,332,2.84,22.11,3.86,23.4,66.77
2945,89,0.77,9.92,2.41,17.6,47.97
1469,263,4.09,15.04,5.38,23.4,56.77
1080,499,5.85,24.34,8.72,39.2,83.33
1485,409,3.19,15.59,5.92,27.1,60.87
2999,144,0.47,10.73,2.4,15.5,46.2
3033,88,1.02,7.07,2.79,17.9,44.81
1319,601,6.39,24.61,8.41,35.6,85.1
745,70,0.0,0.24,0.74,6.6,23.65
1614,394,3.54,16.71,5.54,23.8,64.12
1147,588,6.22,26.3,7.74,32.9,79.33
1311,627,5.78,26.32,8.52,31.1,66.78
3178,142,0.76,6.36,1.86,15.4,50.44
2735,162,0.83,10.33,2.07,14.8,57.35
3030,312,1.39,8.96,2.11,21.2,46.52
2987,211,0.0,8.38,1.64,14.5,52.52
620,0,0.24,5.59,1.06,3.7,22.86
2998,178,0.79,7.59,1.78,19.6,45.51
3241,248,1.06,11.17,3.89,15.3,57.38
1418,416,3.36,16.72,5.81,31.7,62.93
884,601,6.35,27.44,8.02,25.3,74.76
2963,157,1.13,9.25,2.23,18.8,45.88
3163,151,0.0,7.1,2.76,18.2,42.95
2984,252,0.76,9.97,2.25,15.6,47.14
719,0,0.05,6.33,0.55,9.0,27.75
1324,411,2.76,18.92,4.98,21.9,54.71
1488,360,4.04,18.89,6.08,26.5,70.79
1021,616,6.0,25.52,8.73,32.8,75.41
1685,430,3.2,20.09,5.63,29.8,61.72
3065,185,0.99,8.79,1.85,15.5,45.78
547,0,0.39,2.52,0.28,3.0,25.12
3054,176,0.42,7.96,1.76,17.4,43.94
1549,391,3.65,19.92,5.91,20.7,66.69
1150,607,5.58,25.5,7.85,27.1,72.8
3117,142,0.94,10.19,1.79,14.6,54.3
3076,159,0.32,6.62,2.43,13.9,35.57
902,593,6.15,24.66,7.67,31.4,76.33
1637,417,3.39,20.41,4.14,28.7,67.54
1633,408,3.26,16.31,4.76,23.7,64.19
614,54,0.0,2.93,0.78,6.6,25.79
3208,180,0.96,8.69,1.73,12.3,49.08
1563,397,3.98,17.28,4.56,27.0,60.31
748,14,0.0,0.0,0.88,3.2,29.45
729,3,0.84,2.17,0.78,4.9,34.36
664,0,0.0,1.8,0.81,7.6,33.72
938,633,5.69,28.4,9.12,34.9,79.94
1603,417,3.9,19.09,4.92,27.7,62.2
1588,323,3.02,24.29,6.0,26.5,54.79
1451,371,3.49,17.31,6.84,21.2,62.25
2964,164,0.18,8.91,1.58,23.0,40.85
3065,208,1.08,10.69,2.13,24.0,54.26
2986,142,1.26,9.02,2.78,20.2,37.85
3003,163,0.59,7.08,2.06,22.5,51.08
3176,143,0.28,10.19,1.82,20.0,52.36
1479,445,3.34,19.09,5.24,30.1,62.55
2970,317,0.65,11.1,2.95,21.1,48.98
941,73,0.0,2.6,0.9,4.3,27.47
3208,182,0.75,9.92,3.66,22.0,52.88
2961,138,0.51,11.46,3.26,19.2,46.2
3043,202,0.27,7.56,0.39,19.6,54.93
1707,430,3.65,15.71,3.75,21.2,56.94
1061,553,5.43,26.88,8.57,33.4,85.04
651,6,0.17,1.53,0.0,6.8,27.89
686,59,0.07,0.82,0.32,0.1,25.17
3106,238,0.44,8.54,2.63,11.0,42.12
1498,501,3.74,19.13,6.61,21.5,59.04
618,17,0.02,1.42,0.02,2.7,31.77
1545,440,3.17,19.57,5.62,22.9,58.39
1326,444,3.09,16.32,5.73,26.8,52.21
2937,137,1.14,9.87,2.08,13.2,48.7
1064,546,6.74,24.34,9.05,34.9,78.99
2932,157,0.87,6.57,3.25,15.7,47.88
1385,437,2.66,17.54,4.93,24.1,59.02
699,0,0.22,1.32,0.26,4.1,24.97
2827,169,0.25,8.48,2.42,17.2,47.28
744,64,0.25,1.58,0.63,5.5,30.35
789,0,0.0,1.31,1.29,2.6,23.32
1194,555,4.91,24.98,8.43,32.8,70.06
3199,131,1.52,13.75,2.58,24.3,51.38
3026,317,0.0,7.09,0.72,17.7,49.03
686,3,0.0,3.54,1.15,0.6,36.35
704,73,0.0,2.94,0.0,10.9,33.76
2824,182,0.45,3.64,2.11,18.8,42.2
3157,166,0.31,6.94,2.72,19.3,56.95
1155,546,5.07,27.03,8.73,30.8,84.68
1237,622,5.85,23.09,8.28,31.2,80.43
1620,436,3.09,15.52,5.06,28.1,62.75
1039,499,5.79,26.14,9.22,27.6,78.94
3018,171,0.1,8.72,2.18,19.5,41.02
1505,287,4.06,17.9,5.07,20.1,62.42
765,0,0.0,0.69,0.25,0.2,30.4
2984,130,1.56,9.43,2.94,22.1,54.61
2959,172,0.07,7.55,1.6,16.4,43.77
1044,580,5.71,26.41,8.92,30.7,84.79
689,0,0.0,6.23,0.56,0.0,21.92
1583,353,3.1,20.27,4.27,24.7,60.53
872,0,0.09,2.84,1.59,0.2,29.66
1482,323,2.5,18.12,5.24,30.3,59.12
2740,169,0.0,10.66,2.52,21.9,49.75
1332,449,3.91,19.23,6.46,22.5,64.03
1452,399,3.3,16.76,5.51,23.3,66.11
979,593,5.91,26.31,8.75,29.5,71.47
1486,502,3.53,19.07,4.95,23.5,68.34
1256,559,6.32,27.84,8.79,26.9,73.88
884,0,0.0,4.04,1.01,1.5,28.29
1456,327,3.68,18.65,6.14,26.8,58.37
1112,688,6.41,25.46,7.83,30.2,71.51
433,0,0.0,0.0,0.48,0.0,23.15
674,0,0.0,1.11,0.36,1.8,34.07
915,669,6.04,24.33,9.44,20.6,74.22
615,0,0.0,4.64,0.79,0.0,33.16
2986,224,0.6,7.71,1.24,16.3,53.48
715,0,0.26,2.23,1.85,0.0,27.69
581,0,0.18,0.0,0.36,0.0,30.81
2981,128,0.84,9.29,0.58,16.7,48.97
730,0,0.05,2.6,0.26,2.4,29.69
1610,382,3.22,14.42,4.71,28.8,61.13
2977,162,1.05,10.79,1.48,18.5,54.46
1499,447,3.62,20.3,5.09,22.3,61.48
2918,197,0.04,7.16,2.39,17.2,45.06
1373,343,3.54,17.19,5.35,22.5,62.75
1444,419,3.69,17.29,5.1,18.9,71.1
1459,466,3.32,20.17,4.72,26.5,57.54
1105,600,5.75,27.23,8.91,36.4,79.63
792,0,0.0,3.27,0.03,4.0,24.49
1370,402,4.02,18.81,5.65,25.5,59.78
950,612,5.42,23.84,8.1,26.0,68.33
834,0,0.0,3.58,0.6,6.3,27.31
1005,635,5.95,23.49,8.47,25.3,70.88
1098,682,5.29,26.73,9.19,30.3,80.43
3127,273,0.53,10.06,2.64,18.1,53.51
950,528,5.62,22.05,8.06,30.6,83.2
612,19,0.23,0.0,0.29,1.8,34.27
1480,382,3.97,16.25,6.41,21.5,60.55
754,25,0.0,3.98,0.0,2.8,27.24
1142,676,6.32,26.32,9.05,30.6,79.3
1558,329,3.62,19.57,5.35,29.9,59.03
1244,614,5.6,26.32,7.94,28.4,80.75
2929,254,0.56,8.03,3.14,18.6,49.32
1361,384,3.71,17.82,5.21,25.0,56.4
1006,616,5.48,27.7,8.8,28.2,78.79
1385,422,3.75,17.95,5.18,32.9,60.04
737,0,0.16,2.0,1.66,3.0,27.66
1180,719,5.91,27.09,9.31,33.3,86.36
1064,607,6.46,26.33,9.54,34.2,77.64
3066,153,0.39,10.96,1.88,17.6,49.36
1835,383,3.22,14.55,6.23,29.8,74.7
1370,385,3.84,18.9,5.62,27.7,67.28
1434,412,3.97,15.92,5.42,32.5,60.75
3324,169,0.95,8.01,1.43,18.8,42.31
3145,220,0.7,5.08,2.73,14.1,39.5
3200,187,0.49,8.29,1.03,17.8,44.46
2761,276,0.6,10.5,1.98,19.5,44.72
3037,206,0.32,12.03,2.4,21.3,48.66
1029,585,6.41,25.46,8.78,27.1,80.68
582,46,0.0,1.21,0.0,1.7,27.31
1030,567,5.85,26.78,7.68,32.4,69.46
1524,381,3.94,18.1,5.04,26.2,67.32
1614,323,3.48,20.98,7.37,20.2,57.55
2979,136,0.5,12.78,2.67,23.8,47.89
1411,339,3.72,19.93,6.38,27.0,70.77
2740,182,0.92,10.51,2.69,19.8,43.83
2905,212,0.38,8.7,2.48,20.3,37.62
1029,598,5.43,25.17,8.75,30.7,82.63
600,17,0.0,0.26,0.0,4.3,32.98
1436,394,2.95,17.76,5.73,21.5,62.34
1287,379,3.54,15.12,5.55,27.8,58.37
2953,81,1.11,8.35,2.59,22.8,50.49
1309,361,3.66,15.94,5.46,25.6,63.26
738,0,0.14,4.39,0.0,6.8,23.34
1517,356,3.75,22.92,5.38,19.5,59.85
1400,352,2.89,17.79,6.48,21.1,64.24
901,571,5.72,29.86,7.13,27.9,87.42
682,0,0.29,0.0,0.48,0.0,23.68
3137,176,1.09,11.59,1.88,19.8,41.84
734,121,0.07,0.08,0.0,0.0,29.81
2703,169,0.94,6.73,2.63,15.2,48.68
2727,139,1.49,10.46,1.29,14.3,43.53
1385,415,3.46,17.55,5.75,24.0,64.0
3202,295,0.0,10.35,1.78,21.8,40.26
989,621,6.07,23.99,9.01,31.1,79.16
1535,392,3.64,15.06,6.51,28.6,63.71
1346,676,5.69,27.9,8.12,28.1,76.85
2950,133,0.0,8.48,3.18,15.2,48.39
3066,97,0.25,9.52,2.47,19.9,44.23
2830,170,0.38,11.87,2.42,12.1,50.31
2770,164,0.09,11.74,2.27,17.0,44.14
707,37,0.0,1.13,0.0,4.6,27.89
1477,385,2.41,16.33,5.75,23.6,59.53
3031,166,0.45,8.14,3.12,21.5,58.22
2906,105,0.47,14.25,2.31,15.4,48.94
876,0,0.23,0.37,0.92,4.4,31.12
1643,401,3.4,19.04,5.32,24.2,58.42
3011,202,0.25,8.33,1.67,13.9,50.53
2845,196,0.93,6.18,2.39,16.7,51.16
726,0,0.07,0.92,0.0,1.7,30.87
1612,448,3.8,14.54,5.4,24.6,58.23
3045,110,0.88,8.13,2.39,14.5,43.01
1444,494,4.01,18.76,4.7,29.2,73.4
3031,163,0.47,9.54,1.91,14.7,46.96
1548,445,3.25,20.18,6.01,27.2,65.52
859,50,0.0,0.0,0.58,6.1,19.86
1639,385,3.06,18.45,4.16,22.5,53.68
1332,396,3.84,14.99,5.01,23.6,54.39
1501,357,3.1,15.92,6.15,26.0,62.2
1610,448,3.19,17.82,6.04,27.8,77.41
1414,408,3.61,18.16,4.09,25.5,58.8
1021,514,5.75,26.21,8.99,28.2,84.05
1575,412,2.97,17.94,4.91,29.7,63.97
1755,349,3.67,17.39,4.94,31.1,53.32
3103,167,1.04,9.25,2.49,22.2,56.55
1619,393,3.14,21.72,5.89,28.1,65.6
1227,542,5.6,26.62,8.25,34.0,71.46
2740,185,0.05,9.89,3.41,19.0,50.7
1563,469,4.26,17.19,6.0,23.3,59.69
1377,404,2.97,19.27,5.23,24.9,60.38
2939,251,1.23,7.7,2.87,19.1,44.62
3170,155,0.89,4.53,1.55,18.3,46.88
1131,668,6.39,25.66,9.0,24.5,71.17
1574,358,3.45,17.21,5.68,25.4,64.43
798,0,0.03,0.0,0.54,4.4,39.65
3090,270,0.93,8.14,2.24,12.0,53.68
1169,653,6.44,28.58,8.42,34.9,82.99
1279,464,3.99,22.67,4.66,19.9,60.22
648,0,0.61,2.21,2.09,2.1,31.08
799,0,0.0,0.8,0.58,1.6,32.88
2941,234,0.66,8.45,1.47,18.3,46.05
774,679,5.98,26.02,9.26,31.0,78.49
1025,569,5.63,23.79,7.43,28.2,67.11
1324,457,3.92,16.85,4.72,28.1,66.25
2903,78,0.5,7.64,2.06,24.0,49.56
1486,435,3.73,19.82,4.5,26.6,67.29
3081,247,1.02,11.36,2.22,19.1,45.41
1245,701,6.11,25.04,8.59,31.1,75.31
529,87,0.65,0.76,1.0,0.1,36.19
1456,331,2.95,19.56,6.61,23.8,57.81
3186,137,0.76,10.46,1.87,19.7,53.88
953,576,6.74,28.32,9.05,30.8,83.95
1481,459,3.26,18.71,5.87,23.6,56.93
709,0,0.0,1.73,0.24,5.2,23.49
3062,246,1.17,9.91,1.5,18.7,42.14
1031,546,6.27,22.82,8.65,32.2,84.08
3094,140,0.15,6.5,2.87,17.4,39.79
3188,199,0.3,7.21,3.77,21.0,42.68
1594,408,3.73,16.48,5.99,22.7,54.74
2992,98,1.01,10.0,2.37,18.3,40.94
2969,231,0.0,8.55,1.76,17.2,50.64
1603,397,3.3,16.76,5.85,21.8,61.2
1087,562,5.96,24.26,8.28,32.8,79.17
846,0,0.27,0.38,1.2,4.4,25.51
1223,400,3.76,19.72,5.33,28.4,62.65
2941,109,1.16,6.2,2.39,21.7,48.45
3000,229,0.63,7.53,2.68,16.0,49.96
664,14,0.14,0.12,0.26,2.7,27.97
566,0,0.5,5.69,0.0,4.9,28.82
1378,342,3.32,15.12,4.99,28.0,59.18
919,630,6.15,24.86,8.31,32.9,76.86
3069,212,0.93,13.57,1.64,18.4,52.09
1600,326,3.23,17.85,6.8,27.6,58.65
564,0,0.0,0.28,0.87,0.9,35.09
1598,375,3.57,19.56,6.7,21.4,62.56
2942,163,0.39,10.18,3.09,16.8,43.3
1524,497,3.7,17.42,6.36,27.1,70.8
1562,434,3.86,17.93,4.8,24.7,59.2
1520,369,3.56,13.72,4.29,22.4,56.8
1378,354,3.94,18.88,6.36,25.9,63.97
699,0,0.0,2.48,0.55,4.7,30.54
1238,609,5.56,24.16,7.57,29.3,68.86
798,29,0.45,2.94,0.0,4.8,24.25
2918,195,0.55,9.43,2.04,17.1,49.32
543,47,0.78,0.0,1.28,1.2,20.67
1151,572,5.72,23.37,8.96,33.1,86.67
3103,108,0.05,10.32,2.41,21.2,47.14
2984,149,0.06,5.19,2.74,23.1,50.03
1044,632,6.54,23.53,8.08,30.9,73.02
1211,621,5.4,25.62,8.62,23.8,74.17
1574,302,3.49,21.37,5.21,24.1,59.35
1571,387,3.82,17.69,5.78,22.1,65.31
1143,584,6.01,25.53,8.23,31.9,79.4
954,528,5.7,26.85,8.26,35.4,75.54
1153,667,5.63,28.24,9.82,26.9,79.58
2798,144,0.69,4.9,1.35,14.6,51.58
2979,147,0.4,10.31,0.66,21.2,45.36
1288,621,5.65,22.0,8.66,31.7,73.56
839,0,0.0,0.43,0.26,0.0,30.47
1068,532,6.29,22.87,8.68,28.8,79.23
650,0,0.41,1.44,0.68,1.8,28.49
2800,150,0.6,6.09,0.93,18.7,48.19
1704,443,3.99,18.02,6.23,30.3,54.07
1582,489,3.33,17.91,6.0,28.5,65.78
2915,129,0.0,8.23,2.93,13.6,47.05
514,0,0.0,1.81,1.7,3.2,31.53
1415,435,3.33,23.04,5.13,28.1,61.97
1273,621,6.03,24.78,9.72,31.0,80.31
1473,448,3.72,13.93,5.08,21.9,60.0
3195,320,0.38,9.92,3.65,15.6,45.88
2895,206,0.27,6.8,3.77,14.2,47.97
1609,349,3.06,17.78,5.96,29.8,62.55
632,50,0.75,0.56,0.0,0.8,27.26
738,0,0.0,1.32,1.32,0.0,30.59
1028,781,6.42,27.38,8.03,32.1,81.48
2844,183,0.6,14.19,1.1,14.3,52.64
1039,658,6.15,27.75,9.08,25.2,82.17
1088,633,5.8,25.85,8.42,32.1,69.61
1018,521,5.59,25.89,8.7,25.8,79.41
1510,259,3.57,19.85,4.48,23.5,56.08
684,22,0.2,0.82,0.09,6.6,27.31
3012,195,0.49,12.05,2.24,16.3,44.93
2880,203,0.58,9.55,1.91,14.4,43.0
1637,448,3.49,20.62,6.06,27.2,61.71
3066,189,1.0,9.84,3.65,15.2,51.8
629,2,0.23,1.96,0.0,6.4,31.26
2839,139,0.64,4.73,1.51,14.4,54.27
618,0,0.07,0.0,0.15,0.0,24.4
831,0,0.0,3.3,1.62,2.8,27.03
1540,428,4.45,17.79,6.57,27.1,63.56
1373,392,3.23,20.44,5.46,22.3,60.79
1485,440,3.03,21.26,5.4,23.8,56.03
976,570,6.45,27.38,8.79,30.3,88.87
2880,139,1.44,9.21,2.33,18.2,53.59
2895,215,0.44,7.19,3.41,16.9,48.35
569,36,0.44,0.0,0.22,0.0,20.02
1034,608,6.29,25.66,8.76,30.0,77.6
2864,120,0.82,6.95,2.16,15.6,47.54
696,15,0.1,3.03,0.0,2.0,20.77
1088,582,5.85,27.22,8.4,25.3,75.47
1838,500,3.54,17.74,4.93,27.8,60.35
878,0,0.07,3.23,0.0,0.9,25.83
1607,424,3.58,17.41,6.78,23.3,71.71
741,59,0.76,1.97,0.0,0.2,29.66
815,0,0.0,4.97,0.15,6.6,36.22
688,66,0.0,4.35,0.35,2.6,29.93
687,76,0.11,5.45,0.87,0.0,18.09
2839,178,0.17,9.54,2.09,17.2,43.04
3192,106,0.53,13.74,2.33,13.6,49.96
692,0,0.0,0.0,0.0,4.1,19.87
721,13,0.0,0.0,0.6,1.3,31.53
698,13,0.0,0.0,0.54,0.2,26.0
3066,178,0.39,8.34,2.21,21.0,51.37
1278,420,3.55,19.76,5.24,24.0,70.92
3173,157,0.98,7.31,2.47,17.3,49.1
725,133,0.0,5.76,0.9,1.2,24.28
571,0,0.0,1.25,0.0,0.0,31.63
3022,238,0.61,10.53,2.1,20.3,50.92
826,76,0.58,2.54,0.11,2.9,33.98
1552,427,2.83,18.07,4.96,31.3,61.03
2761,106,0.49,9.42,1.6,18.5,44.44
2994,229,0.38,7.95,1.16,20.8,43.91
897,0,0.43,4.6,0.0,0.0,25.3
3067,206,0.9,8.85,3.64,15.7,40.59
1622,422,3.83,17.83,3.05,24.7,62.53
734,0,0.0,5.03,0.49,3.8,31.8
1397,470,3.28,17.64,5.39,23.5,63.3
1266,670,5.72,24.02,8.18,29.2,78.88
3017,252,0.34,9.25,2.5,18.8,48.07
3029,150,0.46,5.01,2.1,15.8,54.67
3110,185,0.92,6.26,2.41,22.8,58.05
3173,208,1.16,8.7,1.59,18.8,42.69
977,549,6.2,27.2,9.0,26.7,78.82
717,0,0.0,0.94,0.41,6.4,39.02
2960,236,0.15,7.9,1.1,12.9,46.31
